source,target,Fisher_Z,avg_r
Frontal_Inf_Oper_L,Occipital_Mid_L,0.4155,0.3932
Cingulum_Ant_L,Paracentral_Lobule_L,0.4154,0.393
Cingulum_Mid_L,Putamen_R,0.4152,0.3928
Cingulum_Post_L,Hippocampus_R,0.4149,0.3926
Caudate_R,Temporal_Sup_L,0.4147,0.3924
SupraMarginal_R,Putamen_R,0.4138,0.3917
Frontal_Inf_Oper_R,Thalamus_R,0.4137,0.3916
Insula_L,Cuneus_R,0.4136,0.3915
Hippocampus_R,SupraMarginal_R,0.4134,0.3913
Frontal_Sup_Medial_L,Occipital_Sup_L,0.4134,0.3914
Putamen_L,Thalamus_R,0.4133,0.3913
Lingual_L,SupraMarginal_L,0.4133,0.3913
Frontal_Inf_Tri_R,Cuneus_L,0.413,0.391
Postcentral_R,Thalamus_R,0.4126,0.3907
Hippocampus_R,Calcarine_R,0.4125,0.3906
Cuneus_L,Paracentral_Lobule_L,0.4123,0.3904
Temporal_Sup_L,Temporal_Pole_Sup_L,0.4123,0.3904
Postcentral_R,Putamen_R,0.4122,0.3903
Lingual_L,Occipital_Mid_L,0.4119,0.3901
Lingual_L,Temporal_Sup_L,0.4119,0.3901
Lingual_L,Cerebelum_4_5_R,0.4118,0.39
Lingual_R,Putamen_R,0.4117,0.3899
Hippocampus_L,Calcarine_R,0.4115,0.3898
Occipital_Mid_L,Precuneus_R,0.4114,0.3897
Occipital_Sup_R,Parietal_Inf_L,0.4114,0.3897
Rolandic_Oper_R,Angular_R,0.4112,0.3895
Cuneus_L,Parietal_Sup_R,0.4111,0.3894
Hippocampus_L,Lingual_L,0.411,0.3893
Cingulum_Ant_L,Cuneus_L,0.4108,0.3891
Hippocampus_L,Precuneus_L,0.4105,0.3889
Insula_L,Angular_L,0.4103,0.3887
Frontal_Sup_Medial_L,Cuneus_R,0.4101,0.3886
Frontal_Sup_Medial_R,Parietal_Sup_R,0.4101,0.3886
Occipital_Sup_R,Parietal_Inf_R,0.4099,0.3884
Parietal_Inf_R,Temporal_Sup_R,0.4094,0.388
Thalamus_R,Vermis_4_5,0.4092,0.3878
Hippocampus_R,Lingual_L,0.4091,0.3877
Angular_L,Temporal_Sup_L,0.4091,0.3877
Calcarine_R,Temporal_Mid_L,0.409,0.3876
SupraMarginal_R,Vermis_4_5,0.409,0.3876
Frontal_Mid_L,Putamen_L,0.409,0.3876
Frontal_Sup_L,Putamen_L,0.4089,0.3876
Cingulum_Ant_R,Postcentral_L,0.4089,0.3875
Angular_R,Caudate_L,0.4089,0.3875
Hippocampus_R,Angular_R,0.4089,0.3875
Frontal_Sup_Medial_R,Lingual_R,0.4088,0.3875
ParaHippocampal_L,Thalamus_L,0.4076,0.3864
SupraMarginal_L,Thalamus_R,0.4074,0.3863
Hippocampus_L,Cerebelum_4_5_L,0.4074,0.3863
Occipital_Sup_R,Parietal_Sup_R,0.407,0.3859
Rolandic_Oper_L,Cuneus_R,0.4069,0.3858
Frontal_Mid_L,Cingulum_Ant_R,0.4066,0.3856
Hippocampus_R,Cerebelum_4_5_L,0.4064,0.3855
Frontal_Sup_Orb_R,Frontal_Mid_Orb_L,0.4063,0.3854
Cingulum_Ant_R,Vermis_4_5,0.4059,0.385
Occipital_Sup_R,SupraMarginal_R,0.4058,0.3849
ParaHippocampal_L,ParaHippocampal_R,0.4056,0.3847
Cingulum_Mid_R,Hippocampus_L,0.4054,0.3846
Cingulum_Post_L,Occipital_Sup_R,0.4054,0.3846
Thalamus_R,Temporal_Sup_R,0.4053,0.3845
Frontal_Sup_Medial_R,SupraMarginal_L,0.4053,0.3845
SupraMarginal_L,Putamen_R,0.4053,0.3845
Occipital_Sup_L,Temporal_Sup_R,0.4052,0.3844
Occipital_Sup_R,Precuneus_L,0.4052,0.3844
Rolandic_Oper_R,Heschl_L,0.4052,0.3844
Frontal_Sup_Medial_L,Putamen_R,0.4052,0.3844
Paracentral_Lobule_R,Thalamus_L,0.4042,0.3836
Rolandic_Oper_L,Precuneus_L,0.4041,0.3834
Cingulum_Ant_R,Lingual_L,0.4039,0.3833
Frontal_Inf_Oper_L,Thalamus_L,0.4037,0.3831
Calcarine_R,Thalamus_L,0.4034,0.3828
Supp_Motor_Area_L,Cingulum_Ant_R,0.4034,0.3829
Hippocampus_L,Temporal_Sup_L,0.4034,0.3828
Paracentral_Lobule_L,Caudate_R,0.4033,0.3828
Precuneus_R,Putamen_L,0.4033,0.3828
Lingual_R,Thalamus_R,0.4032,0.3827
Parietal_Sup_R,SupraMarginal_L,0.4032,0.3827
Insula_L,Cerebelum_4_5_L,0.403,0.3825
Heschl_L,Heschl_R,0.403,0.3825
Rolandic_Oper_R,Cingulum_Mid_R,0.4029,0.3824
Precentral_L,Putamen_R,0.4029,0.3824
ParaHippocampal_R,Cerebelum_4_5_L,0.4029,0.3824
Frontal_Inf_Tri_R,Rolandic_Oper_L,0.4028,0.3823
Frontal_Sup_R,Occipital_Sup_L,0.4028,0.3824
Rolandic_Oper_L,Occipital_Mid_L,0.4028,0.3823
Occipital_Sup_L,Postcentral_R,0.4028,0.3823
Insula_R,Heschl_L,0.4027,0.3823
Lingual_L,Postcentral_L,0.4022,0.3819
Lingual_R,Fusiform_L,0.4021,0.3817
Rolandic_Oper_R,Cingulum_Mid_L,0.402,0.3817
Cingulum_Ant_R,Cuneus_L,0.4019,0.3816
Supp_Motor_Area_L,Temporal_Sup_L,0.4014,0.3811
Frontal_Sup_Medial_L,Lingual_R,0.4012,0.381
Lingual_R,SupraMarginal_L,0.4012,0.381
ParaHippocampal_R,Cerebelum_4_5_R,0.4011,0.3809
Lingual_L,Postcentral_R,0.401,0.3808
Frontal_Sup_Medial_L,Occipital_Mid_L,0.401,0.3808
Lingual_L,Putamen_R,0.4008,0.3806
Lingual_L,Angular_L,0.4007,0.3806
Insula_R,Occipital_Sup_R,0.4007,0.3806
Cingulum_Post_R,Hippocampus_L,0.4005,0.3804
Frontal_Sup_L,Thalamus_L,0.4005,0.3803
Lingual_R,Temporal_Sup_L,0.4004,0.3803
Calcarine_R,Parietal_Inf_R,0.4001,0.3801
Precuneus_L,Caudate_R,0.4,0.3799
Rolandic_Oper_R,Cingulum_Post_L,0.3998,0.3797
Cingulum_Post_R,Putamen_R,0.3997,0.3797
Thalamus_R,Heschl_R,0.3996,0.3796
Precentral_R,Occipital_Sup_L,0.3995,0.3795
Hippocampus_L,Temporal_Sup_R,0.3995,0.3795
Precentral_L,Calcarine_L,0.3992,0.3793
Occipital_Mid_L,Precuneus_L,0.399,0.3791
Calcarine_L,Parietal_Inf_R,0.3988,0.3789
Frontal_Sup_L,Thalamus_R,0.3987,0.3788
Precuneus_L,Temporal_Sup_R,0.3986,0.3788
Frontal_Sup_R,Thalamus_L,0.3979,0.3781
Parietal_Inf_R,Thalamus_L,0.3976,0.3779
Frontal_Sup_Medial_R,Lingual_L,0.3975,0.3778
Cingulum_Mid_L,Occipital_Sup_L,0.3974,0.3777
Calcarine_R,Temporal_Sup_R,0.3972,0.3776
Cingulum_Mid_R,Occipital_Sup_L,0.3972,0.3775
Thalamus_L,Vermis_4_5,0.3971,0.3774
Frontal_Inf_Oper_R,Occipital_Sup_R,0.3971,0.3775
Hippocampus_L,Heschl_L,0.397,0.3774
Supp_Motor_Area_L,Calcarine_L,0.3965,0.3769
Calcarine_L,Temporal_Mid_L,0.3962,0.3767
Frontal_Sup_Medial_R,Vermis_4_5,0.3962,0.3767
Frontal_Mid_R,Thalamus_R,0.396,0.3765
SupraMarginal_R,Putamen_L,0.3958,0.3763
Frontal_Mid_L,Cuneus_L,0.3958,0.3763
Lingual_L,Thalamus_L,0.3956,0.3761
Cingulum_Ant_L,SupraMarginal_R,0.3956,0.3762
Supp_Motor_Area_R,Temporal_Sup_R,0.3955,0.3761
Frontal_Inf_Oper_L,Angular_R,0.3955,0.3761
Lingual_R,Postcentral_L,0.3954,0.376
Postcentral_R,Temporal_Sup_R,0.3953,0.3759
Cingulum_Ant_R,Precuneus_L,0.3947,0.3754
Cuneus_R,Postcentral_R,0.3946,0.3753
Hippocampus_R,Heschl_R,0.3946,0.3753
Frontal_Sup_Medial_L,Lingual_L,0.3945,0.3752
Occipital_Mid_L,Postcentral_L,0.3945,0.3752
Frontal_Mid_L,Rolandic_Oper_L,0.3944,0.3751
Parietal_Sup_L,Thalamus_R,0.3943,0.375
Frontal_Inf_Orb_L,Temporal_Pole_Sup_L,0.3941,0.3749
Frontal_Mid_R,Rolandic_Oper_L,0.3941,0.3749
Frontal_Inf_Oper_L,Occipital_Sup_L,0.394,0.3748
Lingual_L,Parietal_Inf_L,0.394,0.3748
Rolandic_Oper_R,Parietal_Inf_R,0.3939,0.3748
Insula_R,Occipital_Sup_L,0.3938,0.3746
Calcarine_R,Caudate_R,0.3934,0.3743
Occipital_Sup_L,SupraMarginal_R,0.3933,0.3742
Lingual_L,Occipital_Sup_L,0.3931,0.374
Frontal_Sup_R,Vermis_4_5,0.393,0.374
Insula_L,Angular_R,0.393,0.3739
Frontal_Inf_Orb_R,Putamen_R,0.393,0.374
Rolandic_Oper_L,Parietal_Inf_R,0.3927,0.3737
Frontal_Sup_Medial_R,Occipital_Sup_R,0.3927,0.3737
Lingual_L,SupraMarginal_R,0.3925,0.3736
Rolandic_Oper_R,Precuneus_R,0.3925,0.3735
Supp_Motor_Area_R,Cuneus_R,0.3924,0.3734
Calcarine_L,Temporal_Sup_L,0.3919,0.373
Caudate_L,Temporal_Sup_L,0.3918,0.3729
Precuneus_R,Putamen_R,0.3914,0.3725
Frontal_Sup_R,Occipital_Mid_L,0.3913,0.3725
Calcarine_R,Parietal_Sup_L,0.3913,0.3725
Rolandic_Oper_R,Cerebelum_4_5_R,0.3912,0.3724
Insula_L,Occipital_Sup_L,0.3912,0.3724
Lingual_R,SupraMarginal_R,0.3911,0.3723
Rolandic_Oper_R,Pallidum_L,0.391,0.3722
Paracentral_Lobule_L,Thalamus_R,0.3904,0.3717
Occipital_Mid_L,SupraMarginal_L,0.3904,0.3717
Paracentral_Lobule_R,Caudate_L,0.3904,0.3717
Cingulum_Mid_R,Lingual_L,0.3903,0.3716
Insula_R,Temporal_Pole_Sup_L,0.3903,0.3716
Temporal_Sup_L,Vermis_4_5,0.3901,0.3714
Cuneus_R,Occipital_Mid_R,0.3899,0.3712
Cuneus_R,Parietal_Sup_L,0.3897,0.3711
Frontal_Inf_Tri_L,Putamen_R,0.3895,0.3709
Frontal_Inf_Oper_L,Thalamus_R,0.3892,0.3707
Precentral_R,Cuneus_R,0.3888,0.3704
Occipital_Sup_R,Temporal_Sup_R,0.3885,0.37
Frontal_Sup_Medial_L,Vermis_4_5,0.3879,0.3695
Frontal_Mid_R,Thalamus_L,0.3877,0.3693
Precuneus_R,Temporal_Sup_L,0.3876,0.3693
Insula_L,Thalamus_R,0.3875,0.3692
Cingulum_Post_R,Occipital_Mid_L,0.3875,0.3692
Lingual_L,Precuneus_R,0.3874,0.3691
Rolandic_Oper_L,Thalamus_R,0.3872,0.3689
Frontal_Sup_R,Thalamus_R,0.387,0.3688
Occipital_Sup_L,Temporal_Mid_L,0.3869,0.3687
Occipital_Sup_R,Parietal_Sup_L,0.3869,0.3687
Postcentral_L,Heschl_L,0.3869,0.3687
Frontal_Mid_L,Calcarine_R,0.3869,0.3687
Parietal_Inf_R,Thalamus_R,0.3869,0.3687
Frontal_Sup_R,Lingual_R,0.3867,0.3685
Hippocampus_R,Calcarine_L,0.3862,0.3681
Insula_R,Cerebelum_4_5_L,0.386,0.3679
Angular_L,Putamen_L,0.3852,0.3672
Parietal_Inf_L,Caudate_R,0.385,0.367
Calcarine_L,Temporal_Mid_R,0.3847,0.3668
Rolandic_Oper_L,Heschl_R,0.3846,0.3667
Cingulum_Mid_L,Hippocampus_L,0.3845,0.3666
Frontal_Inf_Oper_L,Cuneus_R,0.3842,0.3664
Lingual_R,Precuneus_R,0.3841,0.3663
Cingulum_Ant_R,Paracentral_Lobule_L,0.3838,0.366
Frontal_Mid_L,Thalamus_L,0.3836,0.3658
Insula_R,Occipital_Mid_L,0.3836,0.3658
Rolandic_Oper_L,Occipital_Sup_L,0.3835,0.3657
Calcarine_L,SupraMarginal_L,0.3833,0.3656
Cuneus_L,SupraMarginal_L,0.3832,0.3655
Precentral_L,Occipital_Sup_L,0.3829,0.3652
Cuneus_L,Paracentral_Lobule_R,0.3827,0.365
Occipital_Sup_R,Postcentral_R,0.3826,0.3649
SupraMarginal_L,Temporal_Mid_L,0.3825,0.3649
Rolandic_Oper_R,Cingulum_Post_R,0.3824,0.3648
Occipital_Sup_R,Postcentral_L,0.3824,0.3648
Frontal_Inf_Tri_R,Rolandic_Oper_R,0.3823,0.3647
Frontal_Inf_Tri_R,Calcarine_L,0.3822,0.3646
Rolandic_Oper_R,Supp_Motor_Area_R,0.3822,0.3646
Calcarine_R,Temporal_Mid_R,0.3821,0.3645
Rolandic_Oper_L,Temporal_Sup_R,0.3819,0.3643
Hippocampus_L,Lingual_R,0.3818,0.3643
Precuneus_L,Putamen_L,0.3815,0.364
Cingulum_Post_L,Temporal_Mid_L,0.3815,0.364
Cuneus_L,Putamen_L,0.3812,0.3638
Calcarine_R,Caudate_L,0.3811,0.3637
Hippocampus_R,Cuneus_L,0.3807,0.3633
Frontal_Sup_R,Occipital_Sup_R,0.3806,0.3632
Lingual_R,Postcentral_R,0.3805,0.3632
Cingulum_Post_L,Temporal_Sup_L,0.3802,0.3629
Supp_Motor_Area_R,Putamen_L,0.3799,0.3626
Paracentral_Lobule_R,Thalamus_R,0.3799,0.3626
Frontal_Sup_R,Putamen_R,0.3798,0.3625
Hippocampus_R,Postcentral_L,0.3798,0.3625
Cingulum_Mid_R,Temporal_Sup_R,0.3798,0.3625
Cingulum_Post_R,Occipital_Sup_R,0.3797,0.3624
Cingulum_Ant_L,Lingual_L,0.3793,0.3621
Cingulum_Ant_L,Parietal_Inf_L,0.3791,0.3619
Calcarine_L,Putamen_R,0.3791,0.3619
Cingulum_Post_R,Cerebelum_4_5_L,0.3791,0.3619
Rolandic_Oper_R,Cuneus_L,0.379,0.3618
Lingual_R,Angular_L,0.3789,0.3617
Cingulum_Ant_R,Precuneus_R,0.3782,0.3612
Hippocampus_R,Parietal_Inf_L,0.378,0.361
Cingulum_Post_R,Temporal_Sup_L,0.3778,0.3608
Putamen_R,Vermis_4_5,0.3776,0.3607
Frontal_Sup_L,Lingual_L,0.3773,0.3604
Frontal_Inf_Oper_L,Lingual_R,0.3773,0.3603
Cingulum_Mid_R,Hippocampus_R,0.377,0.3601
Cingulum_Mid_R,Lingual_R,0.377,0.3601
Rolandic_Oper_R,Cerebelum_4_5_L,0.3769,0.36
Lingual_L,Precuneus_L,0.3768,0.3599
Occipital_Mid_R,Temporal_Mid_R,0.3767,0.3598
Cuneus_R,SupraMarginal_R,0.3766,0.3597
Calcarine_R,Vermis_3,0.3766,0.3597
Calcarine_R,Fusiform_L,0.3762,0.3594
Supp_Motor_Area_L,Cuneus_R,0.3761,0.3593
Angular_L,Caudate_L,0.3761,0.3594
Frontal_Sup_Medial_L,Occipital_Sup_R,0.3761,0.3593
Calcarine_L,Paracentral_Lobule_L,0.3761,0.3593
Precentral_L,Cuneus_R,0.3758,0.3591
Cuneus_L,Occipital_Mid_R,0.3758,0.359
Frontal_Inf_Oper_R,Occipital_Mid_L,0.3756,0.3589
Supp_Motor_Area_R,Hippocampus_L,0.3756,0.3589
Lingual_R,Precuneus_L,0.3753,0.3587
Frontal_Sup_L,Putamen_R,0.3752,0.3585
Paracentral_Lobule_R,Caudate_R,0.3747,0.3581
Calcarine_R,Paracentral_Lobule_R,0.3746,0.3581
Cuneus_R,Lingual_L,0.3746,0.358
Hippocampus_L,Parietal_Sup_L,0.3746,0.358
Rolandic_Oper_L,Cerebelum_4_5_L,0.3743,0.3577
Cuneus_L,Cerebelum_4_5_L,0.3742,0.3576
Frontal_Mid_R,Calcarine_L,0.3741,0.3576
Insula_L,Occipital_Sup_R,0.3735,0.3571
Angular_R,Temporal_Mid_R,0.3735,0.3571
Rolandic_Oper_R,Supp_Motor_Area_L,0.3734,0.357
Cuneus_R,Parietal_Sup_R,0.3729,0.3565
Hippocampus_R,SupraMarginal_L,0.3726,0.3563
Occipital_Sup_L,Parietal_Inf_R,0.3726,0.3562
Frontal_Inf_Tri_R,Frontal_Inf_Orb_R,0.3726,0.3563
Hippocampus_R,Cerebelum_4_5_R,0.3724,0.3561
Fusiform_L,Cerebelum_4_5_R,0.3723,0.356
Hippocampus_L,Cuneus_L,0.3723,0.356
Temporal_Sup_L,Cerebelum_4_5_L,0.3721,0.3559
Frontal_Inf_Oper_L,Lingual_L,0.3719,0.3557
Postcentral_L,Temporal_Sup_R,0.3716,0.3554
Cingulum_Mid_L,Lingual_R,0.3713,0.3551
Supp_Motor_Area_R,Lingual_L,0.3711,0.355
Pallidum_L,Thalamus_L,0.3709,0.3547
Hippocampus_L,Heschl_R,0.3708,0.3547
SupraMarginal_R,Temporal_Sup_L,0.3708,0.3547
Rolandic_Oper_L,Temporal_Mid_L,0.3707,0.3546
Frontal_Inf_Tri_R,Putamen_R,0.3703,0.3543
Frontal_Inf_Orb_L,Putamen_L,0.37,0.354
Thalamus_L,Cerebelum_4_5_L,0.3697,0.3537
Frontal_Inf_Tri_R,Cuneus_R,0.3697,0.3538
Frontal_Inf_Oper_R,Thalamus_L,0.3697,0.3537
Cingulum_Ant_L,Angular_R,0.3697,0.3537
Frontal_Sup_R,Temporal_Sup_R,0.3695,0.3535
Frontal_Inf_Tri_R,Calcarine_R,0.3694,0.3534
Calcarine_R,Fusiform_R,0.3693,0.3534
Cingulum_Ant_L,SupraMarginal_L,0.3693,0.3534
Frontal_Mid_L,Thalamus_R,0.3688,0.3529
Cuneus_L,Caudate_L,0.3686,0.3528
Heschl_L,Temporal_Sup_R,0.3685,0.3527
Parietal_Sup_R,Thalamus_L,0.368,0.3523
Cingulum_Mid_L,Lingual_L,0.3677,0.352
Frontal_Inf_Oper_R,Lingual_R,0.3676,0.3519
Frontal_Inf_Tri_R,Parietal_Sup_R,0.3673,0.3516
Angular_L,Caudate_R,0.3671,0.3514
Lingual_R,Caudate_R,0.3669,0.3513
Frontal_Inf_Orb_L,Insula_R,0.3668,0.3512
Occipital_Mid_L,Postcentral_R,0.3667,0.3511
Fusiform_L,Fusiform_R,0.3666,0.351
Frontal_Mid_R,Calcarine_R,0.3666,0.351
Parietal_Inf_L,Putamen_R,0.3663,0.3508
Cingulum_Ant_L,Thalamus_R,0.3662,0.3506
Insula_R,Cerebelum_4_5_R,0.3661,0.3505
Putamen_L,Heschl_L,0.366,0.3504
Hippocampus_L,Putamen_R,0.366,0.3505
ParaHippocampal_L,Lingual_R,0.366,0.3505
Frontal_Sup_Medial_R,Thalamus_R,0.3659,0.3504
Precuneus_R,Heschl_R,0.3656,0.3502
Hippocampus_L,Calcarine_L,0.3655,0.3501
Rolandic_Oper_L,Occipital_Sup_R,0.3654,0.35
Occipital_Mid_L,Vermis_4_5,0.3653,0.3498
Thalamus_L,Temporal_Sup_R,0.3653,0.3499
Calcarine_R,Cerebelum_4_5_R,0.3652,0.3498
Frontal_Inf_Tri_L,Frontal_Inf_Orb_L,0.3652,0.3498
Frontal_Sup_L,Cuneus_R,0.3651,0.3497
Cingulum_Post_L,Cerebelum_4_5_L,0.3648,0.3494
Rolandic_Oper_R,SupraMarginal_L,0.3646,0.3493
Hippocampus_R,Parietal_Inf_R,0.3646,0.3492
Heschl_R,Temporal_Sup_L,0.3645,0.3492
Precuneus_R,Heschl_L,0.3645,0.3492
Lingual_L,Angular_R,0.3645,0.3492
Rolandic_Oper_L,Paracentral_Lobule_R,0.3645,0.3492
Putamen_L,Cerebelum_4_5_L,0.3644,0.3491
Lingual_R,Occipital_Mid_L,0.3643,0.349
Parietal_Sup_R,Thalamus_R,0.3643,0.349
Calcarine_L,Paracentral_Lobule_R,0.3642,0.3489
Frontal_Mid_R,Occipital_Sup_L,0.3641,0.3488
Postcentral_R,Temporal_Sup_L,0.3641,0.3488
Calcarine_L,Parietal_Sup_L,0.3639,0.3487
Precentral_R,Occipital_Sup_R,0.3638,0.3486
Frontal_Inf_Orb_L,Rolandic_Oper_L,0.3638,0.3486
Rolandic_Oper_R,Thalamus_L,0.3637,0.3485
Cingulum_Ant_L,Paracentral_Lobule_R,0.3637,0.3485
Parietal_Sup_L,Caudate_L,0.3636,0.3484
Cingulum_Ant_L,Temporal_Sup_L,0.3635,0.3483
Caudate_L,Temporal_Sup_R,0.3635,0.3483
Frontal_Mid_L,Putamen_R,0.3635,0.3483
Hippocampus_R,Angular_L,0.3633,0.3481
Occipital_Sup_L,Parietal_Sup_R,0.3631,0.348
Lingual_R,Parietal_Inf_L,0.363,0.3478
Rolandic_Oper_R,Precuneus_L,0.363,0.3478
Frontal_Sup_Medial_L,Thalamus_L,0.3629,0.3477
Postcentral_L,Vermis_4_5,0.3629,0.3478
Insula_L,Cerebelum_4_5_R,0.3627,0.3476
Hippocampus_R,Cuneus_R,0.3626,0.3475
Cingulum_Mid_L,Hippocampus_R,0.3626,0.3475
Frontal_Inf_Tri_L,Angular_L,0.3625,0.3474
Precuneus_R,Vermis_4_5,0.3623,0.3472
Cuneus_R,Cerebelum_4_5_L,0.3623,0.3472
Occipital_Sup_L,SupraMarginal_L,0.362,0.347
Calcarine_L,Vermis_3,0.362,0.347
Occipital_Mid_L,Cerebelum_4_5_L,0.362,0.347
Cingulum_Mid_L,Temporal_Sup_L,0.3618,0.3468
Thalamus_R,Cerebelum_4_5_L,0.3616,0.3466
Rolandic_Oper_R,Paracentral_Lobule_L,0.3615,0.3466
Occipital_Mid_L,Parietal_Sup_L,0.3613,0.3463
Insula_L,Temporal_Sup_R,0.361,0.3461
Cingulum_Ant_R,SupraMarginal_R,0.3609,0.346
Frontal_Mid_R,Putamen_R,0.3607,0.3458
Caudate_L,Pallidum_L,0.3606,0.3457
Calcarine_L,Caudate_L,0.3604,0.3456
Thalamus_R,Temporal_Sup_L,0.3602,0.3454
Frontal_Mid_L,Calcarine_L,0.36,0.3452
Precuneus_L,Vermis_4_5,0.3599,0.3451
Frontal_Inf_Tri_R,Thalamus_R,0.3597,0.345
Lingual_R,Angular_R,0.3593,0.3446
Supp_Motor_Area_R,Occipital_Sup_L,0.3591,0.3444
Hippocampus_L,Vermis_4_5,0.3591,0.3444
Lingual_R,Occipital_Sup_L,0.3589,0.3442
Hippocampus_L,Caudate_L,0.3585,0.3439
Supp_Motor_Area_L,Occipital_Sup_L,0.3583,0.3437
Lingual_L,Caudate_R,0.3583,0.3437
Insula_R,Angular_L,0.3582,0.3436
Supp_Motor_Area_L,Temporal_Sup_R,0.358,0.3434
Calcarine_R,Thalamus_R,0.358,0.3434
Parietal_Inf_L,Temporal_Mid_L,0.3578,0.3433
ParaHippocampal_R,Vermis_4_5,0.3577,0.3432
Cingulum_Post_R,Temporal_Mid_L,0.3574,0.3429
Cuneus_R,Parietal_Inf_R,0.3573,0.3428
Cuneus_R,Temporal_Sup_L,0.3572,0.3428
Caudate_R,Pallidum_R,0.3572,0.3427
Putamen_L,Temporal_Pole_Sup_L,0.3571,0.3426
Frontal_Inf_Tri_L,Calcarine_R,0.357,0.3426
SupraMarginal_L,Angular_R,0.3567,0.3423
Supp_Motor_Area_L,Lingual_L,0.3563,0.3419
Occipital_Mid_R,Angular_R,0.3563,0.342
Postcentral_R,Vermis_4_5,0.356,0.3417
Frontal_Inf_Tri_L,Paracentral_Lobule_R,0.3558,0.3415
Hippocampus_R,Temporal_Sup_L,0.3556,0.3413
Parietal_Inf_R,Caudate_R,0.3555,0.3412
Supp_Motor_Area_R,Temporal_Sup_L,0.3554,0.3412
Cingulum_Mid_R,Occipital_Sup_R,0.3553,0.3411
Angular_L,Thalamus_R,0.3552,0.341
Caudate_R,Vermis_4_5,0.355,0.3408
Cuneus_L,Temporal_Sup_L,0.355,0.3408
Precentral_R,Temporal_Sup_R,0.3549,0.3407
Hippocampus_L,Cuneus_R,0.3546,0.3405
Occipital_Sup_L,Putamen_L,0.3546,0.3405
Frontal_Sup_L,Occipital_Sup_L,0.3545,0.3404
Occipital_Mid_L,Temporal_Sup_L,0.3544,0.3403
Frontal_Inf_Tri_R,Parietal_Sup_L,0.3543,0.3401
Occipital_Sup_L,Cerebelum_4_5_L,0.3542,0.3401
Cingulum_Post_L,Temporal_Sup_R,0.3542,0.3401
Frontal_Inf_Oper_L,Rolandic_Oper_R,0.3541,0.34
Cingulum_Ant_R,Paracentral_Lobule_R,0.354,0.3399
Hippocampus_L,SupraMarginal_R,0.354,0.3399
Angular_R,Thalamus_R,0.3539,0.3399
Precuneus_R,Temporal_Mid_L,0.3538,0.3398
Thalamus_L,Temporal_Mid_L,0.3538,0.3398
Occipital_Sup_L,Occipital_Mid_R,0.3533,0.3393
Cingulum_Mid_R,Temporal_Sup_L,0.3532,0.3392
Cingulum_Ant_L,Parietal_Inf_R,0.3532,0.3392
Caudate_R,Heschl_L,0.3529,0.3389
Frontal_Mid_Orb_L,Frontal_Inf_Orb_L,0.3528,0.3389
Cingulum_Mid_R,Vermis_4_5,0.3528,0.3388
Frontal_Inf_Oper_L,Parietal_Sup_R,0.3525,0.3386
Cuneus_R,Putamen_L,0.3525,0.3386
Frontal_Med_Orb_L,Cingulum_Ant_L,0.3523,0.3384
Rolandic_Oper_R,Occipital_Sup_R,0.3523,0.3384
Precentral_R,Lingual_L,0.3522,0.3383
ParaHippocampal_R,Cerebelum_3_R,0.3521,0.3383
Precentral_L,Occipital_Sup_R,0.352,0.3382
Hippocampus_L,Postcentral_R,0.352,0.3382
Cingulum_Mid_L,Temporal_Sup_R,0.3519,0.338
Angular_R,Vermis_4_5,0.3518,0.338
Frontal_Inf_Tri_L,Parietal_Sup_L,0.3518,0.3379
Putamen_R,Temporal_Pole_Sup_L,0.3517,0.3379
Precentral_R,Occipital_Mid_L,0.3514,0.3376
Cingulum_Mid_L,Occipital_Sup_R,0.3514,0.3377
Rolandic_Oper_R,Occipital_Mid_L,0.3514,0.3377
Precentral_R,Hippocampus_L,0.3512,0.3374
Occipital_Mid_L,Putamen_L,0.3511,0.3374
Occipital_Sup_L,Vermis_4_5,0.3509,0.3372
Rolandic_Oper_R,Cuneus_R,0.3505,0.3368
Cingulum_Post_R,Temporal_Sup_R,0.3504,0.3368
Parietal_Inf_R,Putamen_L,0.3503,0.3366
Angular_L,Vermis_4_5,0.3502,0.3366
Rolandic_Oper_R,Parietal_Inf_L,0.3499,0.3363
Precuneus_L,Putamen_R,0.3498,0.3362
Cuneus_R,Temporal_Mid_R,0.3497,0.3361
Insula_L,Parietal_Sup_L,0.3497,0.3361
Lingual_L,Temporal_Mid_L,0.3492,0.3357
Calcarine_L,Fusiform_L,0.3491,0.3355
Precentral_L,Rolandic_Oper_R,0.3488,0.3353
Cuneus_R,Vermis_4_5,0.3488,0.3353
Cerebelum_3_L,Vermis_4_5,0.3486,0.3351
Rolandic_Oper_R,Paracentral_Lobule_R,0.3484,0.3349
Hippocampus_R,Caudate_L,0.3482,0.3348
Cingulum_Mid_L,Occipital_Mid_L,0.348,0.3346
Frontal_Inf_Tri_L,Parietal_Inf_R,0.3479,0.3345
Paracentral_Lobule_L,Putamen_L,0.3479,0.3346
Temporal_Sup_R,Vermis_4_5,0.3479,0.3345
Supp_Motor_Area_L,Hippocampus_L,0.3477,0.3343
Rolandic_Oper_L,Angular_R,0.3477,0.3344
Precuneus_L,Temporal_Sup_L,0.3476,0.3342
Frontal_Inf_Orb_R,Putamen_L,0.3475,0.3341
Hippocampus_R,Parietal_Sup_L,0.3472,0.3338
Cingulum_Mid_L,Vermis_4_5,0.3472,0.3339
